"lnRR","Env_Type"
"0.554996887","Normal"
"0.969682898","Normal"
"1.040506297","Normal"
"0.730357918","Normal"
"0.964191564","Normal"
"1.048360238","Normal"
"0.594935131","Normal"
"1.034550104","Normal"
"1.081227026","Normal"
"0.043824012","Normal"
"0.06722779","Normal"
"0.102242095","Normal"
"0.031589436","Normal"
"0.074701976","Normal"
"0.260443917","GFR"
"0.245609886","GFR"
"0.287423635","GFR"
"0.255523649","GFR"
"0.222574426","GFR"
"0.300829016","PFR"
"0.545985693","PFR"
"0.513952077","PFR"
"0.50901194","PFR"
"0.535353616","PFR"
"0.734096364","PFR"
"0.863346225","PFR"
"0.898590049","PFR"
"0.908926397","PFR"
"0.91779795","PFR"
"0.209018748","Normal"
"0.337880856","Normal"
"0.469394758","Normal"
"0.496273367","Normal"
"0.472184519","Normal"
"0.203308169","Normal"
"0.345063536","Normal"
"0.466753808","Normal"
"0.474202359","Normal"
"0.467086906","Normal"
"0.136357383","PFR"
"0.175341384","PFR"
"0.243969111","PFR"
"0.190803093","PFR"
"0.191538795","PFR"
"0.639882312","PFR"
"0.917126039","PFR"
"1.048161724","PFR"
"1.024065304","PFR"
"0.969076882","PFR"
"0.383825273","PFR"
"0.683932607","PFR"
"0.746732398","PFR"
"0.724754901","PFR"
"0.724754901","PFR"
"0.538781572","GFR"
"0.666656599","GFR"
"0.707603881","GFR"
"1.087946562","GFR"
"1.30750968","GFR"
"1.332312502","GFR"
"1.277318536","GFR"
"1.289135428","GFR"
"1.319367331","GFR"
"1.043353289","Normal"
"1.441213469","Normal"
"1.556448906","Normal"
"1.493269609","Normal"
"1.563228132","Normal"
"0.980831318","Normal"
"1.579362475","Normal"
"1.631418615","Normal"
"1.631418615","Normal"
"1.631418615","Normal"
"1.340625222","Normal"
"0.980831799","Normal"
"1.480228428","Normal"
"1.603361971","Normal"
"1.650989639","Normal"
"1.118029107","Normal"
"1.415280015","Normal"
"1.393618285","Normal"
"1.415280015","Normal"
"1.457244653","Normal"
"1.174117086","Normal"
"1.371476915","Normal"
"1.450370673","Normal"
"1.415280015","Normal"
"1.341171797","Normal"
"0.768047167","Normal"
"0.778302522","Normal"
"0.82806511","Normal"
"0.681972661","Normal"
"0.367724021","Normal"
"0.362907102","Normal"
"0.271935477","Normal"
"0.405465108","Normal"
"0.535518236","Normal"
"0.419259951","Normal"
"1.351666676","Normal"
"0.989200383","Normal"
"0.581786241","Normal"
"0.41812389","Normal"
