env_ID,gp_id,gp_lat,gp_lon,continent,country,site,region,sowing_date,harvest_date,R1_date,total_days,total_GDD,preR1_days,preR1_GDD,postR1_days,postR1_GDD,total_EDH30,total_EDH35,preR1_EDH30,preR1_EDH35,postR1_EDH30,postR1_EDH35
2015_04_15_37.37__95.29,ERA5_37.25_-95.25,37.25,-95.25,North America,USA,"Kansas_Southeast Agricultural Research Center of Kansas State University located near Parsons, KS",North America_Irrigated,2015/4/15,2015/9/9,,147,1980.35972,,,,,1316.2153,12.49911,,,,
2017_04_15_37.37__95.29,ERA5_37.25_-95.25,37.25,-95.25,North America,USA,"Kansas_Southeast Agricultural Research Center of Kansas State University located near Parsons, KS",North America_Irrigated,2017/4/15,2017/9/9,,147,1947.65702,,,,,940.32281,29.60554,,,,
2013_10_07__25.28__50.07,ERA5_-25.25_-50.00,-25.25,-50,South America,Brazil,"Palmeira, PR",South America,2013/10/7,2014/3/30,2013/12/18,174,2071.81533,73,774.825335,102,1296.989995,326.28263,0,21.64734,0,304.63529,0
2014_10_08__25.28__50.07,ERA5_-25.25_-50.00,-25.25,-50,South America,Brazil,"Palmeira, PR",South America,2014/10/8,2015/3/15,2014/12/15,158,1928.53785,69,807.484065,90,1121.053785,133.67035,0,86.49723,0,47.17312,0
2004_05_19_46.78__71.13,ERA5_46.75_-71.25,46.75,-71.25,North America,Canada,"Agriculture and Agri-Food Canada¡¯s Harlaka Research Farm near Quebec City, QC",North America_Rainfed,2004/5/19,2004/10/25,2004/8/1,159,1017.04794,75,559.24599,85,457.80195,0.59113,0,0.59113,0,0,0
2005_05_19_46.78__71.13,ERA5_46.75_-71.25,46.75,-71.25,North America,Canada,"Agriculture and Agri-Food Canada¡¯s Harlaka Research Farm near Quebec City, QC",North America_Rainfed,2005/5/19,2005/10/11,2005/8/1,145,1188.1655,75,660.689675,71,527.475825,19.45876,0,18.81814,0,0.64062,0
2006_05_24_46.78__71.13,ERA5_46.75_-71.25,46.75,-71.25,North America,Canada,"Agriculture and Agri-Food Canada¡¯s Harlaka Research Farm near Quebec City, QC",North America_Rainfed,2006/5/24,2006/11/11,2006/8/5,171,1089.414595,74,728.60057,98,360.814025,10.68078,0,10.68078,0,0,0
2014_05_06_38.88__92.2,ERA5_39.00_-92.25,39,-92.25,North America,USA,"Missouri_University of Missouri Bradford Research Center near Columbia, MO",North America_Rainfed,2014/5/6,2014/10/5,,152,1888.37884,,,,,478.57528,6.66883,,,,
2015_05_08_38.88__92.2,ERA5_39.00_-92.25,39,-92.25,North America,USA,"Missouri_University of Missouri Bradford Research Center near Columbia, MO",North America_Rainfed,2015/5/8,2015/10/7,,152,1948.846285,,,,,523.47313,0,,,,
2010_05_25_38.88__92.2,ERA5_39.00_-92.25,39,-92.25,North America,USA,"Missouri_University of Missouri Bradford Research Center, Columbia, MO",North America_Rainfed,2010/5/25,2010/10/24,,152,2051.18928,,,,,928.6743,32.0634,,,,
2011_05_09_38.88__92.2,ERA5_39.00_-92.25,39,-92.25,North America,USA,"Missouri_University of Missouri Bradford Research Center, Columbia, MO",North America_Rainfed,2011/5/9,2011/10/8,,152,1973.53427,,,,,1524.48737,138.69124,,,,
2011_06_07_38.88__92.2,ERA5_39.00_-92.25,39,-92.25,North America,USA,"Missouri_University of Missouri Bradford Research and Extension Center, Columbia, MO",North America_Rainfed,2011/6/7,2011/11/6,,152,1805.97742,,,,,1429.3479,138.69124,,,,
2013_06_28_39.6_116.58,ERA5_39.50_116.50,39.5,116.5,Asia,China,"Hebei_LangFang Experimental Station of the Chinese Academy of Agricultural Sciences in Wanzhuang, Hebei Province",North China Plain,2013/6/28,2013/10/27,,121,1587.500135,,,,,1079.29292,51.3416,,,,
2014_06_13_39.6_116.58,ERA5_39.50_116.50,39.5,116.5,Asia,China,"Hebei_LangFang Experimental Station of the Chinese Academy of Agricultural Sciences in Wanzhuang, Hebei Province",North China Plain,2014/6/13,2014/10/12,,121,1683.79902,,,,,1272.4899,37.51698,,,,
2015_06_15_39.6_116.58,ERA5_39.50_116.50,39.5,116.5,Asia,China,"Hebei_LangFang Experimental Station of the Chinese Academy of Agricultural Sciences in Wanzhuang, Hebei Province",North China Plain,2015/6/15,2015/10/14,,121,1693.54751,,,,,1201.04278,114.32923,,,,
2013_06_28_39.6_116.58,ERA5_39.50_116.50,39.5,116.5,Asia,China,"Hebei_LangFang Experimental Station of the Chinese Academy of Agricultural Sciences in Wanzhuang, Hebei Province",North China Plain,2013/6/28,2013/10/27,2013/8/21,121,1587.500135,55,915.811465,67,671.68867,1079.29292,51.3416,963.19767,51.17558,116.09525,0.16602
2014_06_13_39.6_116.58,ERA5_39.50_116.50,39.5,116.5,Asia,China,"Hebei_LangFang Experimental Station of the Chinese Academy of Agricultural Sciences in Wanzhuang, Hebei Province",North China Plain,2014/6/13,2014/10/12,2014/8/6,121,1683.79902,55,897.75008,67,786.04894,1272.4899,37.51698,1024.39443,37.51698,248.09547,0
